step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
372,TRANSFER,8375.89,C6173344564,191764.78,183388.89,C1809283659,158546.28,166922.17,0
454,DEBIT,3561.02,C1149460439,154268.68,150707.66,M2187592160,0.00,0.00,0
242,CASH_OUT,32668.37,C8313706299,63091.19,30422.82,C3528924461,95053.67,95053.67,0
325,CASH_OUT,117.67,C1596471620,80839.48,80721.81,C5646880148,179411.35,179411.35,0
83,DEBIT,42269.65,C7070083150,146872.22,104602.57,M8790289305,0.00,0.00,0
341,CASH_OUT,2024.54,C4577406847,2796.86,772.32,C7049001493,144716.11,144716.11,0
519,PAYMENT,12805.69,C6822870815,55585.43,42779.74,M6101516825,0.00,0.00,0
465,CASH_OUT,1970.94,C4507822591,2484.60,513.66,C3781569954,141027.28,141027.28,0
140,CASH_OUT,72745.70,C1195066088,96299.10,23553.40,M2155671697,0.00,0.00,1
665,CASH_OUT,119950.31,C9943959352,193914.92,73964.61,C7552812957,71848.93,71848.93,0
328,CASH_OUT,4241.05,C2503068227,60963.77,56722.72,C7243352390,111509.73,111509.73,0
608,CASH_OUT,28813.01,C5243939720,113408.62,84595.61,C4993808565,185229.38,185229.38,0
187,PAYMENT,935.42,C1439427140,23144.52,22209.10,M9581187661,0.00,0.00,0
24,TRANSFER,161288.36,C2311597141,171000.80,9712.44,C4419410162,103393.93,264682.29,0
474,CASH_OUT,26794.45,C7311011808,195648.85,168854.40,C2067970820,104640.11,104640.11,0
440,PAYMENT,508.69,C3396953414,24455.37,23946.68,M6692705133,0.00,0.00,0
581,CASH_OUT,52032.61,C2515672889,96306.58,44273.97,C5586143660,32661.77,32661.77,0
690,PAYMENT,22128.69,C1521521078,74791.88,52663.19,M8218146534,0.00,0.00,0
273,PAYMENT,17773.23,C6204041308,17918.93,145.70,M8458323087,0.00,0.00,0
615,CASH_OUT,5142.36,C1515024824,11006.73,5864.37,C7420493866,189073.06,189073.06,0
185,PAYMENT,170.18,C2510308881,316.18,146.00,M2121448210,0.00,0.00,0
255,TRANSFER,9.53,C9248574674,56194.39,56184.86,C9080621072,89499.96,89509.49,0
137,CASH_IN,4955.59,C7568980185,29345.07,34300.66,C2191714875,26405.47,26405.47,0
393,CASH_OUT,1135.56,C7706193636,47575.67,46440.11,C5871743247,71592.67,71592.67,0
61,DEBIT,49642.05,C7070083150,104602.57,54960.52,M6045729129,0.00,0.00,0
687,TRANSFER,224.31,C1940684569,192019.06,191794.75,C6477862024,13249.47,13473.78,0
260,PAYMENT,292.68,C3598862507,18106.60,17813.92,M2115406331,0.00,0.00,0
573,PAYMENT,5271.79,C5515628633,162378.57,157106.78,M2115862756,0.00,0.00,0
348,PAYMENT,3964.15,C6340003593,114196.33,110232.18,M8235474949,0.00,0.00,0
267,PAYMENT,18481.25,C1116402431,49249.17,30767.92,M7192742877,0.00,0.00,0
288,DEBIT,17033.08,C5703357871,57437.46,40404.38,M2121448210,0.00,0.00,0
271,PAYMENT,12770.73,C9650701349,105883.07,93112.34,M4908108692,0.00,0.00,0
504,PAYMENT,40.38,C2965254350,54594.56,54554.18,M1306420495,0.00,0.00,0
153,PAYMENT,466.57,C1225447588,42171.35,41704.78,M3469205576,0.00,0.00,0
479,CASH_IN,132.63,C1624173500,106543.87,106676.50,C8317619798,43883.27,43883.27,0
366,TRANSFER,1635.88,C3965676060,26507.75,24871.87,C5868640848,2392.28,4028.16,0
152,PAYMENT,580.42,C1563524533,98050.07,97469.65,M5412437658,0.00,0.00,0
173,CASH_OUT,81014.23,C7337225482,118208.50,37194.27,C8730507757,69028.61,69028.61,0
218,CASH_IN,43686.03,C7710396573,103076.60,146762.63,C1546957087,173669.18,173669.18,0
427,PAYMENT,19220.88,C4473306055,167091.83,147870.95,M5891831621,0.00,0.00,0
27,CASH_IN,17191.04,C7045593274,79838.26,97029.30,C3436297208,132032.95,132032.95,0
109,PAYMENT,16623.60,C5931025271,86117.61,69494.01,M6011842297,0.00,0.00,0
676,TRANSFER,79641.49,C1110724913,157461.52,77820.03,C6910112521,107944.57,187586.06,0
338,TRANSFER,16863.53,C5483308751,131486.12,114622.59,C3480920839,33815.85,50679.38,0
583,CASH_OUT,12440.49,C5227828349,28471.87,16031.38,C3313993297,129528.04,129528.04,0
57,TRANSFER,1065.31,C4302632494,161030.73,159965.42,C5182110973,76763.29,77828.60,0
262,CASH_IN,736.81,C6745958212,15303.45,16040.26,C8084809436,106251.16,106251.16,0
214,CASH_OUT,107009.06,C1288335378,199004.87,91995.81,C2072355594,4882.69,4882.69,0
670,PAYMENT,12733.39,C8547068234,171363.04,158629.65,M4820942294,0.00,0.00,0
318,TRANSFER,1157.47,C8325222092,163488.40,162330.93,C2645272822,47726.54,48884.01,0
377,PAYMENT,4893.60,C4172006012,195556.59,190662.99,M6495967005,0.00,0.00,0
577,PAYMENT,8545.51,C8236980551,198043.53,189498.02,M6692705133,0.00,0.00,0
445,PAYMENT,23553.54,C2183906581,88114.97,64561.43,M3107992942,0.00,0.00,0
693,TRANSFER,42637.45,C8387664437,54262.08,11624.63,C4714465905,29548.74,72186.19,0
645,PAYMENT,95.39,C1589582865,198717.11,198621.72,M6744039057,0.00,0.00,0
490,CASH_IN,10643.80,C7470843264,104137.53,114781.33,C7266763552,20011.34,20011.34,0
255,PAYMENT,88.58,C7114223633,122607.85,122519.27,M3297681898,0.00,0.00,0
47,TRANSFER,37045.03,C7227593033,78853.66,41808.63,C9462806178,30942.96,67987.99,0
583,PAYMENT,14013.69,C7161887665,82406.26,68392.57,M8102481401,0.00,0.00,0
17,TRANSFER,4724.64,C2250949136,181947.08,177222.44,C1659663750,68062.62,72787.26,0
403,PAYMENT,1955.36,C9924456994,133271.19,131315.83,M8869140487,0.00,0.00,0
466,PAYMENT,2350.19,C4972536230,102695.84,100345.65,M9900829971,0.00,0.00,0
192,PAYMENT,18478.27,C2848792488,184972.27,166494.00,M9288057824,0.00,0.00,0
109,PAYMENT,2.87,C3598862507,17813.92,17811.05,M1096405016,0.00,0.00,0
672,TRANSFER,34090.56,C4152835101,52333.05,18242.49,C2176904638,147152.16,181242.72,0
499,CASH_OUT,25162.73,C6142469284,27280.92,2118.19,C4586139213,106696.99,106696.99,0
692,PAYMENT,3.05,C8531118333,97572.22,97569.17,M8861351706,0.00,0.00,0
115,TRANSFER,70.74,C7415801613,111468.06,111397.32,C7027529118,99454.76,99525.50,0
493,TRANSFER,71381.84,C5512036684,138099.45,66717.61,C9579064478,199744.67,271126.51,0
552,PAYMENT,4838.41,C6469458472,96983.70,92145.29,M1466305100,0.00,0.00,0
23,DEBIT,46111.39,C8229344434,174860.35,128748.96,M6275155878,0.00,0.00,0
483,TRANSFER,176364.40,C7961674558,158213.32,0.00,M3831598303,0.00,0.00,1
342,CASH_OUT,112299.70,C8418332121,99883.38,0.00,C4277581356,82167.56,82167.56,1
611,CASH_IN,19947.03,C4289233844,182894.80,202841.83,C6306523372,154630.20,154630.20,0
526,TRANSFER,7428.07,C5199176431,13125.52,5697.45,C3806215682,152980.78,160408.85,0
63,PAYMENT,59.10,C9245348297,196723.75,196664.65,M5734228580,0.00,0.00,0
664,PAYMENT,4280.84,C8317619798,43883.27,39602.43,M9822499208,0.00,0.00,0
447,PAYMENT,2388.41,C7808938880,82808.03,80419.62,M1666898313,0.00,0.00,0
238,TRANSFER,105393.74,C7079234115,125455.24,20061.50,C8695129534,104115.54,209509.28,0
673,DEBIT,45684.81,C3511301900,180034.89,134350.08,M2635881694,0.00,0.00,0
690,PAYMENT,8791.62,C4990452762,151096.79,142305.17,M7570511906,0.00,0.00,0
290,PAYMENT,529.73,C8691288568,127484.83,126955.10,M9558906999,0.00,0.00,0
161,PAYMENT,1817.14,C9138644862,94974.28,93157.14,M6786043791,0.00,0.00,0
215,CASH_IN,7799.20,C8858766173,62488.13,70287.33,C3884642366,114442.05,114442.05,0
694,CASH_OUT,103.67,C9248046539,182077.80,181974.13,C9863781331,179200.33,179200.33,0
66,PAYMENT,7036.76,C2905584866,92269.43,85232.67,M1692044390,0.00,0.00,0
499,PAYMENT,14071.84,C5271453859,85293.15,71221.31,M2249831874,0.00,0.00,0
571,PAYMENT,8254.95,C1248704157,46465.61,38210.66,M9255306810,0.00,0.00,0
107,DEBIT,45983.12,C2850820685,196733.68,150750.56,M1343875431,0.00,0.00,0
114,CASH_OUT,18003.93,C6634526139,65136.99,47133.06,C5428082088,137088.74,137088.74,0
