transaction_id,timestamp,account_id,payer_id,payee_id,amount,currency,merchant_category,country,channel,device_id,ip_hash,balance_before,balance_after,label,notes
tx0001,2025-10-01T08:02:00Z,acct_1058,user_1013,merc_9190,298.94,USD,airfare,FR,web,dev_e2,ip_8936,1757.04,1458.1,0,monthly subscription
tx0002,2025-10-01T08:06:00Z,acct_1259,user_1014,merc_9144,8058.39,USD,airfare,US,atm,dev_o10,ip_4558,16192.42,8134.03,0,book purchase
tx0003,2025-10-01T08:09:00Z,acct_1143,user_1080,merc_9056,8071.48,USD,digital_goods,CA,app,dev_m2,ip_5882,16952.94,8881.46,0,book purchase
tx0004,2025-10-01T08:03:00Z,acct_1064,user_1194,merc_9021,2279.75,USD,consulting,NG,mobile,dev_l10,ip_3151,14097.35,11817.6,0,restaurant meal
tx0005,2025-10-01T08:20:00Z,acct_1120,user_1052,merc_9098,9366.61,USD,restaurant,FR,atm,dev_f6,ip_5821,4205.95,-5160.66,0,normal grocery
tx0006,2025-10-01T08:08:00Z,acct_1088,user_1274,merc_9187,7683.37,USD,crypto_exchange,US,web,dev_m5,ip_9126,4407.91,-3275.46,0,normal grocery
tx0007,2025-10-01T08:10:00Z,acct_1017,user_1162,merc_9103,9145.56,USD,airfare,FR,app,dev_s6,ip_3484,13115.66,3970.1,0,book purchase
tx0008,2025-10-01T08:08:00Z,acct_1136,user_1072,merc_9064,7443.6,USD,consulting,NG,mobile,dev_n10,ip_6544,7252.69,-476.49,2,transaction exceeds balance
tx0009,2025-10-01T08:08:00Z,acct_1079,user_1082,merc_9175,18605.67,USD,books,GB,app,dev_m10,ip_7669,10591.7,-8013.97,2,large transfer to new payee
tx0010,2025-10-01T08:33:00Z,acct_1275,user_1137,merc_9197,11029.46,USD,digital_goods,RU,mobile,dev_j7,ip_2592,9085.4,-119.78,2,transaction exceeds balance
tx0011,2025-10-01T08:08:00Z,acct_1055,user_1153,merc_9164,10283.51,USD,wire,RU,web,dev_l3,ip_8838,19070.92,8787.41,2,wire to high-risk country
tx0012,2025-10-01T08:31:00Z,acct_1186,user_1158,merc_9062,7567.83,USD,consulting,US,web,dev_c2,ip_7963,16324.14,8756.31,2,large transfer to new payee
tx0013,2025-10-01T08:58:00Z,acct_1282,user_1085,merc_9068,3734.83,USD,airfare,NG,atm,dev_r4,ip_5108,7991.87,4257.04,0,travel expense
tx0014,2025-10-01T08:30:00Z,acct_1062,user_1127,merc_9058,7078.7,USD,grocery,US,mobile,dev_s9,ip_3771,11777.03,4698.33,0,normal grocery
tx0015,2025-10-01T09:01:00Z,acct_1035,user_1017,merc_9085,10775.42,USD,subscription,US,web,dev_v8,ip_3511,10793.89,18.47,1,near-zero balance after transaction
tx0016,2025-10-01T08:08:00Z,acct_1209,user_1098,merc_9025,6534.9,USD,restaurant,US,atm,dev_n7,ip_7652,17279.46,10744.56,0,normal grocery
tx0017,2025-10-01T08:57:00Z,acct_1207,user_1174,merc_9028,2498.81,USD,airfare,US,web,dev_r8,ip_2297,8449.2,5950.39,0,normal grocery
tx0018,2025-10-01T08:22:00Z,acct_1282,user_1051,merc_9013,8646.64,USD,digital_goods,RU,app,dev_y4,ip_2725,8140.15,-506.49,0,normal grocery
tx0019,2025-10-01T09:35:00Z,acct_1195,user_1002,merc_9100,9687.12,USD,subscription,FR,atm,dev_n9,ip_7974,3112.84,-6574.28,0,travel expense
