transaction_id,timestamp,account_id,payer_id,payee_id,amount,currency,merchant_category,merchant_name,country,channel,device_id,ip_hash,balance_before,balance_after,label,notes
tx000001,2025-12-22T18:15:25Z,ACCT100076,ACCT100076-CHK,MCHT_LYFT_RIDE,19.41,USD,rideshare,Lyft Ride,GB,online,DEV-ACCT100076-1,ip_e208b732,4615.46,4596.05,0,normal transaction
tx000002,2025-12-09T18:55:12Z,ACCT100107,ACCT100107-CHK,MCHT_CHIPOTLE,22.00,USD,restaurants,Chipotle,MX,atm,DEV-ACCT100107-2,ip_46e9d318,2456.44,2434.44,0,meal out
tx000003,2025-12-14T08:50:13Z,ACCT100012,CARD4091,MCHT_CIRCLE_K,22.06,USD,fuel,Circle K,US,online,DEV-ACCT100012-4,ip_100d71e2,619.41,597.35,1,multiple small purchases
tx000004,2025-12-12T06:42:38Z,ACCT100102,CARD4235,MCHT_MCDONALDS,9.94,USD,fast_food,McDonalds,IR,online,DEV-ACCT100102-1,ip_17008ee9,3567.70,3557.76,0,quick food/coffee
tx000005,2025-12-03T05:40:34Z,ACCT100179,CARD4260,MCHT_VERIZON_WIRELESS,137.04,USD,utilities,Verizon Wireless,RU,mobile_app,DEV-ACCT100179-2,ip_700887eb,2601.61,2464.57,0,monthly bill
tx000006,2025-12-23T21:32:17Z,ACCT100019,CARD4055,MCHT_CHIPOTLE,23.49,USD,restaurants,Chipotle,IR,mobile_app,DEV-ACCT100019-2,ip_b316826a,529.24,505.75,0,meal out
tx000007,2025-12-19T13:52:04Z,ACCT100022,ACCT100022-CHK,MCHT_AMAZON_MARKETPLACE,114.38,USD,online_retail,Amazon Marketplace,IR,online,DEV-ACCT100022-3,ip_0bb7a0b9,2031.13,1916.75,0,normal transaction
tx000008,2025-12-16T05:58:56Z,ACCT100063,CARD4153,MCHT_T-MOBILE,55.35,USD,utilities,T-Mobile,US,atm,DEV-ACCT100063-4,ip_945b591a,3580.76,3525.41,0,monthly bill
tx000009,2025-12-15T19:47:52Z,ACCT100291,CARD4154,MCHT_APPLECOM/BILL,32.50,USD,online_services,Apple.com/Bill,US,mobile_app,DEV-ACCT100291-3,ip_3cf0ee12,3970.04,3937.54,0,normal transaction
tx000010,2025-12-06T00:18:47Z,ACCT100226,ACCT100226-CHK,MCHT_AMAZON_MARKETPLACE,83.02,USD,online_retail,Amazon Marketplace,IR,online,DEV-ACCT100226-3,ip_b3c52fd0,2762.83,2679.81,0,normal transaction
tx000011,2025-12-04T03:21:43Z,ACCT100120,ACCT100120-CHK,MCHT_UBER_TRIP,25.58,USD,rideshare,Uber Trip,US,in_store,DEV-ACCT100120-1,ip_356ee92c,3931.30,3905.72,0,normal transaction
tx000012,2025-12-21T07:08:54Z,ACCT100212,ACCT100212-CHK,MCHT_CITY_WATER_&_SEWER,89.05,USD,utilities,City Water & Sewer,US,atm,DEV-ACCT100212-1,ip_b8943692,2547.54,2458.49,0,monthly bill
tx000013,2025-12-04T08:01:40Z,ACCT100217,ACCT100217-CHK,MCHT_UBER_TRIP,41.95,USD,rideshare,Uber Trip,NG,atm,DEV-ACCT100217-1,ip_2b70e9b5,3732.84,3690.89,0,normal transaction
tx000014,2025-12-28T11:50:10Z,ACCT100068,CARD4237,MCHT_TARGET,40.69,USD,retail,Target,CA,atm,DEV-ACCT100068-4,ip_19c8e66f,1919.54,1878.85,0,normal transaction
tx000015,2025-12-13T17:28:38Z,ACCT100132,CARD4126,MCHT_SHELL_OIL,47.14,USD,fuel,Shell Oil,MX,atm,DEV-ACCT100132-3,ip_d678abf4,4451.04,4403.90,0,gas station
tx000016,2025-12-09T03:26:00Z,ACCT100163,ACCT100163-CHK,MCHT_WALMART_SUPERCENTER,76.29,USD,groceries,Walmart Supercenter,US,atm,DEV-ACCT100163-4,ip_1198d4e0,4574.39,4498.10,1,unusual late-night transaction
